code_system,code,code_description,code_lay_term,code_range_1,code_range_1_description,code_range_2,code_range_2_description,code_range_3,code_range_3_description,code_range_4,code_range_4_description,code_range_5,code_range_5_description,code_range_6,code_range_6_description
HCPCS,A0021,"Ambulance service, outside state per mile, transport (Medicaid only)",,A0021-A0999,Ambulance and Other Transport Services and Supplies,,,,,,,,,,
HCPCS,A0080,"Non-emergency transportation, per mile - vehicle provided by volunteer (individual or organization), with no vested interest",,A0021-A0999,Ambulance and Other Transport Services and Supplies,,,,,,,,,,
HCPCS,A0090,"Non-emergency transportation, per mile - vehicle provided by individual (family member, self, neighbor) with vested interest",,A0021-A0999,Ambulance and Other Transport Services and Supplies,,,,,,,,,,
HCPCS,A0100,Non-emergency transportation; taxi,,A0021-A0999,Ambulance and Other Transport Services and Supplies,,,,,,,,,,
HCPCS,A0110,"Non-emergency transportation and bus, intra or inter state carrier",,A0021-A0999,Ambulance and Other Transport Services and Supplies,,,,,,,,,,
HCPCS,A0120,"Non-emergency transportation: mini-bus, mountain area transports, or other transportation systems",,A0021-A0999,Ambulance and Other Transport Services and Supplies,,,,,,,,,,
HCPCS,A0130,Non-emergency transportation: wheel-chair van,,A0021-A0999,Ambulance and Other Transport Services and Supplies,,,,,,,,,,
HCPCS,A0140,Non-emergency transportation and air travel (private or commercial) intra or inter state,,A0021-A0999,Ambulance and Other Transport Services and Supplies,,,,,,,,,,
HCPCS,A0160,Non-emergency transportation: per mile - case worker or social worker,,A0021-A0999,Ambulance and Other Transport Services and Supplies,,,,,,,,,,
HCPCS,A0170,"Transportation ancillary: parking fees, tolls, other",,A0021-A0999,Ambulance and Other Transport Services and Supplies,,,,,,,,,,
HCPCS,A0180,Non-emergency transportation: ancillary: lodging-recipient,,A0021-A0999,Ambulance and Other Transport Services and Supplies,,,,,,,,,,
HCPCS,A0190,Non-emergency transportation: ancillary: meals-recipient,,A0021-A0999,Ambulance and Other Transport Services and Supplies,,,,,,,,,,
HCPCS,A0200,Non-emergency transportation: ancillary: lodging escort,,A0021-A0999,Ambulance and Other Transport Services and Supplies,,,,,,,,,,
HCPCS,A0210,Non-emergency transportation: ancillary: meals-escort,,A0021-A0999,Ambulance and Other Transport Services and Supplies,,,,,,,,,,
HCPCS,A0225,"Ambulance service, neonatal transport, base rate, emergency transport, one way",,A0021-A0999,Ambulance and Other Transport Services and Supplies,,,,,,,,,,
HCPCS,A0380,BLS mileage (per mile),,A0021-A0999,Ambulance and Other Transport Services and Supplies,,,,,,,,,,
HCPCS,A0382,BLS routine disposable supplies,,A0021-A0999,Ambulance and Other Transport Services and Supplies,,,,,,,,,,
HCPCS,A0384,BLS specialized service disposable supplies; defibrillation (used by ALS ambulances and BLS ambulances in jurisdictions where defibrillation is permitted in BLS ambulances),,A0021-A0999,Ambulance and Other Transport Services and Supplies,,,,,,,,,,
HCPCS,A0390,ALS mileage (per mile),,A0021-A0999,Ambulance and Other Transport Services and Supplies,,,,,,,,,,
